id,user_id,age_year,gender_type,album_id,album_name,created_date,content,is_quality,comment_liked_cnt
40774864,147542962,95,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/3/6,演播阵容豪华强大，每个角色的声音都很传神贴切，每个角色都令人喜欢，连每集的片头都无法跳过，真是多人有声小说的天花板。,Y,3
44082217,78700016,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/5/18,精彩，演绎，沉迷，不眠，入迷，煽情，魔法的世界，就是前十几集得忍住看下去，之后太过瘾了,Y,3
40019745,166379339,95,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2023/12/12,自从听完诡秘之主，真的找不出第二个如此精致且逻辑紧凑的小说了，真是现象级，不愧获过奖。好想再听第二遍，等忘一忘吧。留下的坑倒是不少，不过不算大坑，期待第二部填上。如果可以，真想尝尝魔女的滋味啊😌,Y,3
44558105,108585372,80,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/7/20,专辑质量还不错，内容很精彩。我很喜欢特别特别特别喜欢这本书，要是有追诡秘的，记得回复一下。我超爱克莱恩。大家认为这本书的主女主角到底是谁？,Y,3
44492837,333798793,-99,男生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/7/10,前面对于生活的描写略显枯燥，过渡之后就非常好了，当你沉浸其中时，就又会对前面生活的描写有所怀念,Y,3
40811111,52203187,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/3/10,这应该是我看过的网络小说里的巅峰之作 把克苏鲁题材发扬壮大 这让我想到了游戏界 魂戏游戏的开创者发扬者 宫崎老贼  希望乌贼能在 诡秘第三部超越自己 至于第二部宿命之环 只能说不提也罢,Y,3
42680054,45170430,80,女生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/11/14,这是一部用西方神话色彩为底稿，来描述东方现实主义思想的小说。非常感谢8082Audio的演绎，不，用书里的话来说是“扮演”，哪怕是片头片尾都不舍跳过。每听一集都会去看看大家的评论，评论里设计到些许剧透，但相信我，不听到第5卷，哪怕剧透都会让你看的一知半解。评论还是非常有意思的，让我感受到了诡秘“锚”的力量。顺便感到好奇一下，片尾的吟唱部分是“信使天使”的声音吗？大赞👍👍👍,Y,3
43674516,412866859,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2025/4/4,诡秘之主，这本小说可是让我大开眼界了，不，是大开耳界，西幻作品本来都是我比较讨厌的类型，【但是这本书可谓是写出了不同的风采】,Y,3
42533283,115129111,-99,男生,49808826,诡秘之主|多人有声剧丨西方奇幻克苏鲁（乌贼原著）,2024/10/22,结局我还以为会是对抗末日和外神，不过这个结局虽然不理想，但是很现实，毕竟塔罗会并没有真正的成长起来，整体铺垫逻辑很好，只是结局却是很意难平,Y,3
44438947,408549323,-99,女生,49808826,诡秘之主 | 多人有声剧丨同名动画原著 | 西幻克苏鲁 | 乌贼作品,2025/7/2,朋友说诡秘之主是爽文，如何反驳,Y,3
